index,title,task,level,task+level,design methodology,scope,advancement,TL;DR,path,year,comment
26,Compiler generated feedback for Large Language Models,optimization,LLVM IR,,translator,inner,better optimization,"part of Meta LLM Compiler, its IR code size reduction optimization with compiler feedback",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/26_Compiler_generated_feedback_for_Large_Language_Models.pdf,2024,
27,Priority Sampling of Large Language Models for Compilers,optimization,LLVM IR,,selector,inner,better optimization,"part of Meta LLM Compiler, propose a decode-time sampling method combining tree search and sampling",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/27_Priority_Sampling_of_Large_Language_Models_for_Compilers.pdf,2024,
28,Enhancing Translation Validation of Compiler Transformations with Large Language Models,bugfix,LLVM IR,,translator,inner,better utility,"use alive2 as validation tool to generate training dataset to train a alive2-like IR-validator LLM, preliminary",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/28_Enhancing_Translation_Validation_of_Compiler_Transformations_with_Large_Language_Models.pdf,2024,
29,ZS4C: Zero-Shot Synthesis of Compilable Code for Incomplete Code Snippets using LLMs,transpilation,java/python,,translator,outer,better utility,use LLM to complete incomplete code snippet using compiler feedback and few-shot examples,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/29_ZS4C_Zero-Shot_Synthesis_of_Compilable_Code_for_Incomplete_Code_Snippets_using_LLMs.pdf,2024,
30,LangProp: A code optimization framework using Large Language Models applied to driving,optmization,python,,translator,outer,better optimization,propose a metric/data driven training method to use LLM as code optimizer for general domain and first for autodriving domain CARLA,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/30_LangProp_A_code_optimization_framework_using_Large_Language_Models_applied_to_driving.pdf,2024,
31,WhiteFox: White-Box Compiler Fuzzing Empowered by Large Language Models,bugfix,"PyTorch
Inductor, TensorFlow-XLA, and TensorFlow Lite",,translator,outer,"better utility, agent","OOPSLA24, white-box compiler fuzzing using LLM as both optimization source code analyzers and test input generators",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/31_WhiteFox_White-Box_Compiler_Fuzzing_Empowered_by_Large_Language_Models.pdf,2024,
32,LLM4VV: Developing LLM-Driven Testsuite for Compiler Validation,bugfix,C + OpenACC,,translator,outer,better utility,a LLM-driven compiler validation method using RAG and template to construct OpenACC testcases to find compiler bugs,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/32_LLM4VV_Developing_LLM-Driven_Testsuite_for_Compiler_Validation.pdf,2024,
33,Large Language Models for Compiler Optimization,optimization,LLVM IR,,translator,inner,better optimization ,"part of Meta LLM Compiler, its IR code size reduction optimization with compiler feedback",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/33_Large_Language_Models_for_Compiler_Optimization.pdf,2023,
34,On the Evaluation of Neural Code Translation: Taxonomy and Benchmark,transpilation,"C++, Java, C#,JavaScript, Python",,translator,outer,"benchmark, know cans and cants","G-TransEval, a benchmark for neural code translation",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/34_On_the_Evaluation_of_Neural_Code_Translation_Taxonomy_and_Benchmark.pdf,2023,"[""survey""]"
35,Fixing Rust Compilation Errors using LLMs,bugfix,rust,,translator,outer,"better utility, agent, know cans and cants",a rust compilation error fixer using LLMs,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/35_Fixing_Rust_Compilation_Errors_using_LLMs.pdf,2023,"[""bugfix""]"
36,Addressing Compiler Errors: Stack Overflow or Large Language Models?,bugfix,java,,translator,outer,"better utility, know cans and cants",early study on compiler error explanation and fixes to code using chatgpt,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/36_Addressing_Compiler_Errors_Stack_Overflow_or_Large_Language_Models.pdf,2023,
37,Isolating Compiler Bugs by Generating Effective Witness Programs with Large Language Models,bugfix,C/C++ LLVM,,translator,outer,"better utility, agent",compiler bugfinder by LLM-based test program generation,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/37_Isolating_Compiler_Bugs_by_Generating_Effective_Witness_Programs_with_Large_Language_Models.pdf,2024,"[""bugfix""]"
38,CoTran: An LLM-based Code Translator using Reinforcement Learning with Feedback from Compiler and Symbolic Execution,transpilation,"java,python",,translator,outer,"better utility, agent",SFT+PPO trained LLM for code translation with compiler feedback and symbolic execution,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/38_CoTran_An_LLM-based_Code_Translator_using_Reinforcement_Learning_with_Feedback_from_Compiler_and_Symbolic_Execution.pdf,2024,
39,Learning C to x86 Translation: An Experiment in Neural Compilation,transpilation,"C,x86",,translator,inner,know cans and cants,early study on C-x86 neural compilation using transformers,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/39_Learning_C_to_x86_Translation_An_Experiment_in_Neural_Compilation.pdf,2022,"[""end_to_end/compiler""]"
40,Static Neural Compiler Optimization via Deep Reinforcement Learning,optimization,C/C++,,selector,inner,better optimization,RL phase-ordering optimization,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/40_Static_Neural_Compiler_Optimization_via_Deep_Reinforcement_Learning.pdf,2020,
41,Llm compiler: Foundation language models for compiler optimization,optimization,LLVM IR,,translator,inner,better optimization,early work of Meta LLM Compiler,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/41_Llm_compiler_Foundation_language_models_for_compiler_optimization.pdf,2025,
42,Kitten: A Simple Yet Effective Baseline for Evaluating LLM-Based Compiler Testing Techniques,bugfix,,,,,,"ISSTA25, short, not LLM method, a non-LLM baseline(grammar+mutation) to generate program for compiler testing",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/42_Kitten_A_Simple_Yet_Effective_Baseline_for_Evaluating_LLM-Based_Compiler_Testing_Techniques.pdf,2025,"[""bugfix""]"
43,LLMs in Compiler Optimization: Challenges and Future Direction,position paper,,,,,,"a short position paper, say LLM Compiler can be used for better performance/hardware utilization/reduced compilation time",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/43_LLMs_in_Compiler_Optimization_Challenges_and_Future_Direction.pdf,2025,
44,Vega: Automatically generating compiler backends using a pre-trained transformer model,compiler construction,LLVM C++/Tablegen,,generator,inner,"better utility, know cans and cants",use transformer(LLM) as code generator to generate LLVM backend code,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/44_Vega_Automatically_generating_compiler_backends_using_a_pre-trained_transformer_model.pdf,2025,"[""compiler_construction""]"
45,Compiler-R1: Towards Agentic Compiler Auto-tuning with Reinforcement Learning,optimization,LLVM IR,,selector,inner,"agent, better optimization",use finetuned LLM to generate coldstart init pass sequence for autotuning,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/45_Compiler-R1_Towards_Agentic_Compiler_Auto-tuning_with_Reinforcement_Learning.pdf,2025,"[""agent"" ""end_to_end/optimizer""]"
46,Reductive Analysis with Compiler-Guided Large Language Models for Input-Centric Code Optimizations,utility,,,,outer,"better utility, know cans and cants","PLDI25, use LLM as code analysis tool by reductive analysis the source code, get comparable analysis accuracy with profiling-based baselines in less time",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/46_Reductive_Analysis_with_Compiler-Guided_Large_Language_Models_for_Input-Centric_Code_Optimizations.pdf,2025,
47,Llm-vectorizer: Llm-based verified loop vectorizer,optimization,C/C++ + SIMD Intrinsic,,translator,outer,"better optimization, know cans and cants","CGO25, use LLM as source code loop vectorize annotator",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/47_Llm-vectorizer_Llm-based_verified_loop_vectorizer.pdf,2025,
48,"Language models for code optimization: Survey, challenges and future directions",survey,,,,,,"ACM CSUR24, code optimization survey","/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/48_Language_models_for_code_optimization_Survey,_challenges_and_future_directions.pdf",2025,"[""survey""]"
49,Experimental system for the Principles of Compiler course based on fine-tuned StarCoder2 large language model,compiler construction,toy compiler generation,,generator,inner,,use LLM(starcoder2) as compiler-principle course assistant to assist toy compiler generation,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/49_Experimental_system_for_the_Principles_of_Compiler_course_based_on_fine-tuned_StarCoder2_large_language_model.pdf,2025,"[""compiler_construction""]"
51,DeCOS: Data-Efficient Reinforcement Learning for Compiler Optimization Selection Ignited by LLM,optimization,LLVM IR,,selector,inner,"better optimization, agent","ICS25, RL-agent for opt pass generation(use LLM as pass list predictor)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/51_DeCOS_Data-Efficient_Reinforcement_Learning_for_Compiler_Optimization_Selection_Ignited_by_LLM.pdf,2025,
52,Perfcodegen: Improving performance of llm generated code with execution feedback,optimization,python,,translator,outer,better optimization,"use execution-feedback to aid improving llm generated code performance(generate first, optimize later)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/52_Perfcodegen_Improving_performance_of_llm_generated_code_with_execution_feedback.pdf,2025,
53,Clozemaster: Fuzzing rust compiler by harnessing llms for infilling masked real programs,bugfix(fuzz),rust,,translator,outer,"better utility, agent","ICSE25, use LLM as fuzzing test for rust compiler, use a mask+infill as mutation way to generate compiler test programs",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/53_Clozemaster_Fuzzing_rust_compiler_by_harnessing_llms_for_infilling_masked_real_programs.pdf,2025,"[""bugfix""]"
54,Integrating LLM-based code optimization with human-like exclusionary reasoning for computational education,optimization,python(humaneval codexglue),,translator,outer,"better utility, know cans and cants","preventing LLMs performing destructive edits, make diffs rather than regenerate for better follow-up code optimization and correctness",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/54_Integrating_LLM-based_code_optimization_with_human-like_exclusionary_reasoning_for_computational_education.pdf,2025,
57,Advancements in AI-Based Compiler Optimization Techniques for Machine Learning Workloads,optimization,NNs,,selector,inner,better optimization,"use LLM to optimize ML inference, trying NAS(Neural Architecture Search) + RL to get better optimization sequences",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/57_Advancements_in_AI-Based_Compiler_Optimization_Techniques_for_Machine_Learning_Workloads.pdf,2025,
58,SpeedGen: Enhancing Code Efficiency through Large Language Model-Based Performance Optimization,optimization,python,,translator,outer,"agent,better optimization, know cans and cants","SANER25, propose an iterative pipeline to optimize code performance(with general correctness and performance feedback)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/58_SpeedGen_Enhancing_Code_Efficiency_through_Large_Language_Model-Based_Performance_Optimization.pdf,2025,
59,Autoiot: Llm-driven automated natural language programming for aiot applications,transpilation,NL->Code(python),,translator,outer,"agent, better utility","Mobicom25, use LLM as code agent for IOT data processing, equipped with tools, code generation(outline+detail), refinement ",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/59_Autoiot_Llm-driven_automated_natural_language_programming_for_aiot_applications.pdf,2025,
60,"Scalable, validated code translation of entire projects using large language models",transpilation,go->rust,,translator,outer,"better utility, scalability, know cans and cants","PLDI25, a project level LLM-based code translator, focus on type translation, dependency and project partition, scales to 10k LOC project(73% IO correct in function)","/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/60_Scalable,_validated_code_translation_of_entire_projects_using_large_language_models.pdf",2025,
61,Enhancing LLM-based Compiler Fuzzing with Error Detection and Correction,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/61_Enhancing_LLM-based_Compiler_Fuzzing_with_Error_Detection_and_Correction.pdf,2025,
62,"ML-Triton, A Multi-Level Compilation and Language Extension to Triton GPU Programming",,,,,,,,"/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/62_ML-Triton,_A_Multi-Level_Compilation_and_Language_Extension_to_Triton_GPU_Programming.pdf",2025,
63,Efficient program optimization through knowledge-enhanced LoRA fine-tuning of large language models,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/63_Efficient_program_optimization_through_knowledge-enhanced_LoRA_fine-tuning_of_large_language_models.pdf,2025,
64,Insights from verification: Training a verilog generation LLM with reinforcement learning with testbench feedback,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/64_Insights_from_verification_Training_a_verilog_generation_LLM_with_reinforcement_learning_with_testbench_feedback.pdf,2025,
65,"Compiler-Integrated, Conversational AI for Debugging CS1 Programs",,,,,,,,"/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/65_Compiler-Integrated,_Conversational_AI_for_Debugging_CS1_Programs.pdf",2025,"[""bugfix""]"
66,Bridging the PLC Binary Analysis Gap: A Cross-Compiler Dataset and Neural Framework for Industrial Control Systems,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/66_Bridging_the_PLC_Binary_Analysis_Gap_A_Cross-Compiler_Dataset_and_Neural_Framework_for_Industrial_Control_Systems.pdf,2025,"[""datasets_and_benchmarks""]"
67,Metrex: A benchmark for verilog code metric reasoning using llms,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/67_Metrex_A_benchmark_for_verilog_code_metric_reasoning_using_llms.pdf,2025,"[""datasets_and_benchmarks""]"
68,Unlocking LLM Repair Capabilities in Low-Resource Programming Languages Through Cross-Language Translation and Multi-Agent Refinement,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/68_Unlocking_LLM_Repair_Capabilities_in_Low-Resource_Programming_Languages_Through_Cross-Language_Translation_and_Multi-Agent_Refinement.pdf,2025,
69,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",,,,,,,,"/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/69_LLM-Based_Multi-Agent_Systems_for_Software_Engineering_Literature_Review,_Vision,_and_the_Road_Ahead.pdf",2025,"[""survey""]"
70,Introducing Compiler Semantics into Large Language Models as Programming Language Translators: A Case Study of C to x86 Assembly,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/70_Introducing_Compiler_Semantics_into_Large_Language_Models_as_Programming_Language_Translators_A_Case_Study_of_C_to_x86_Assembly.pdf,2024,"[""end_to_end/compiler""]"
71,Virtual Compiler Is All You Need For Assembly Code Search,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/71_Virtual_Compiler_Is_All_You_Need_For_Assembly_Code_Search.pdf,2024,
72,Slade: A portable small language model decompiler for optimized assembly,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/72_Slade_A_portable_small_language_model_decompiler_for_optimized_assembly.pdf,2024,
73,Llm4decompile: Decompiling binary code with large language models,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/73_Llm4decompile_Decompiling_binary_code_with_large_language_models.pdf,2024,
74,Automatic Generation of OpenCL Code through Polyhedral Compilation with LLM,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/74_Automatic_Generation_of_OpenCL_Code_through_Polyhedral_Compilation_with_LLM.pdf,2024,
75,Degpt: Optimizing decompiler output with llm,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/75_Degpt_Optimizing_decompiler_output_with_llm.pdf,2024,
76,The mutators reloaded: Fuzzing compilers with large language model generated mutation operators,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/76_The_mutators_reloaded_Fuzzing_compilers_with_large_language_model_generated_mutation_operators.pdf,2024,
77,Enhancing XML-based Compiler Construction with Large Language Models: A Novel Approach,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/77_Enhancing_XML-based_Compiler_Construction_with_Large_Language_Models_A_Novel_Approach.pdf,2024,
78,Compiler Optimization: A Deep Learning and Transformer-Based Approach,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/78_Compiler_Optimization_A_Deep_Learning_and_Transformer-Based_Approach.pdf,2024,"[""end_to_end/optimizer""]"
79,Effilearner: Enhancing efficiency of generated code via self-optimization,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/79_Effilearner_Enhancing_efficiency_of_generated_code_via_self-optimization.pdf,2024,"[""end_to_end/optimizer""]"
80,Dcc--help: Transforming the Role of the Compiler by Generating Context-Aware Error Explanations with Large Language Models,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/80_Dcc--help_Transforming_the_Role_of_the_Compiler_by_Generating_Context-Aware_Error_Explanations_with_Large_Language_Models.pdf,2024,
81,Verified code transpilation with LLMs,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/81_Verified_code_transpilation_with_LLMs.pdf,2024,
82,Codefuse-13b: A pretrained multi-lingual code large language model,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/82_Codefuse-13b_A_pretrained_multi-lingual_code_large_language_model.pdf,2024,"[""new_llms""]"
83,ALTA: Compiler-Based Analysis of Transformers,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/83_ALTA_Compiler-Based_Analysis_of_Transformers.pdf,2024,"[""new_methods"" ""end_to_end/compiler""]"
84,Rectifier: Code translation with corrector via llms,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/84_Rectifier_Code_translation_with_corrector_via_llms.pdf,2024,
85,VERILOCC: End-to-End Cross-Architecture Register Allocation via LLM,,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/85_VeriLocc_End-to-End_Cross-Architecture_Register_Allocation_via_LLM.pdf,2025,
